N,R,K,L,EbN0_dB,NoiseVariance,FrameCount,ErrorCount,FER,BER
16,0.3333333333333333,5,4,-1.0,1.8883881176912511,28,10,0.35714285714285715,
16,0.3333333333333333,5,4,-0.5,1.6830276814529452,51,10,0.19607843137254902,
16,0.3333333333333333,5,4,0.0,1.5,48,10,0.20833333333333334,
16,0.3333333333333333,5,4,0.5,1.3368764072006185,74,10,0.13513513513513514,
16,0.3333333333333333,5,4,1.0,1.1914923520864222,144,10,0.06944444444444445,
16,0.3333333333333333,5,8,-1.0,1.8883881176912511,23,10,0.43478260869565216,
16,0.3333333333333333,5,8,-0.5,1.6830276814529452,75,10,0.13333333333333333,
16,0.3333333333333333,5,8,0.0,1.5,81,10,0.12345679012345678,
16,0.3333333333333333,5,8,0.5,1.3368764072006185,96,10,0.10416666666666667,
16,0.3333333333333333,5,8,1.0,1.1914923520864222,91,10,0.10989010989010989,
16,0.3333333333333333,5,16,-1.0,1.8883881176912511,39,10,0.2564102564102564,
16,0.3333333333333333,5,16,-0.5,1.6830276814529452,92,10,0.10869565217391304,
16,0.3333333333333333,5,16,0.0,1.5,96,10,0.10416666666666667,
16,0.3333333333333333,5,16,0.5,1.3368764072006185,52,10,0.19230769230769232,
16,0.3333333333333333,5,16,1.0,1.1914923520864222,125,10,0.08,
16,0.5,8,4,-1.0,1.2589254117941673,32,10,0.3125,
16,0.5,8,4,-0.5,1.1220184543019633,37,10,0.2702702702702703,
16,0.5,8,4,0.0,1.0,42,10,0.23809523809523808,
16,0.5,8,4,0.5,0.8912509381337456,25,10,0.4,
16,0.5,8,4,1.0,0.7943282347242815,53,10,0.18867924528301888,
16,0.5,8,8,-1.0,1.2589254117941673,22,10,0.45454545454545453,
16,0.5,8,8,-0.5,1.1220184543019633,36,10,0.2777777777777778,
16,0.5,8,8,0.0,1.0,52,10,0.19230769230769232,
16,0.5,8,8,0.5,0.8912509381337456,33,10,0.30303030303030304,
16,0.5,8,8,1.0,0.7943282347242815,70,10,0.14285714285714285,
