N,R,K,L,EbN0_dB,NoiseVariance,FrameCount,ErrorCount,FER,BER
128,0.3333333333333333,42,4,-3,2.9928934724533196,10,10,1.0,
128,0.3333333333333333,42,4,-2,2.3773397886916703,10,10,1.0,
128,0.3333333333333333,42,4,-1,1.8883881176912511,10,10,1.0,
128,0.3333333333333333,42,4,0,1.5,10,10,1.0,
128,0.3333333333333333,42,4,1,1.1914923520864222,10,10,1.0,
128,0.3333333333333333,42,4,2,0.94643601672029,10,10,1.0,
128,0.3333333333333333,42,4,3,0.7517808504409085,10,10,1.0,
128,0.3333333333333333,42,8,-3,2.9928934724533196,10,10,1.0,
128,0.3333333333333333,42,8,-2,2.3773397886916703,10,10,1.0,
128,0.3333333333333333,42,8,-1,1.8883881176912511,10,10,1.0,
128,0.3333333333333333,42,8,0,1.5,10,10,1.0,
128,0.3333333333333333,42,8,1,1.1914923520864222,10,10,1.0,
128,0.3333333333333333,42,8,2,0.94643601672029,10,10,1.0,
128,0.3333333333333333,42,8,3,0.7517808504409085,10,10,1.0,
128,0.3333333333333333,42,16,-3,2.9928934724533196,10,10,1.0,
128,0.3333333333333333,42,16,-2,2.3773397886916703,10,10,1.0,
128,0.3333333333333333,42,16,-1,1.8883881176912511,10,10,1.0,
128,0.3333333333333333,42,16,0,1.5,10,10,1.0,
128,0.3333333333333333,42,16,1,1.1914923520864222,10,10,1.0,
128,0.3333333333333333,42,16,2,0.94643601672029,10,10,1.0,
128,0.3333333333333333,42,16,3,0.7517808504409085,10,10,1.0,
128,0.5,64,4,-3,1.9952623149688797,10,10,1.0,
128,0.5,64,4,-2,1.5848931924611134,10,10,1.0,
128,0.5,64,4,-1,1.2589254117941673,10,10,1.0,
128,0.5,64,4,0,1.0,10,10,1.0,
128,0.5,64,4,1,0.7943282347242815,10,10,1.0,
128,0.5,64,4,2,0.6309573444801932,10,10,1.0,
128,0.5,64,4,3,0.5011872336272724,10,10,1.0,
128,0.5,64,8,-3,1.9952623149688797,10,10,1.0,
128,0.5,64,8,-2,1.5848931924611134,10,10,1.0,
128,0.5,64,8,-1,1.2589254117941673,10,10,1.0,
128,0.5,64,8,0,1.0,10,10,1.0,
128,0.5,64,8,1,0.7943282347242815,10,10,1.0,
128,0.5,64,8,2,0.6309573444801932,10,10,1.0,
128,0.5,64,8,3,0.5011872336272724,10,10,1.0,
128,0.5,64,16,-3,1.9952623149688797,10,10,1.0,
128,0.5,64,16,-2,1.5848931924611134,10,10,1.0,
128,0.5,64,16,-1,1.2589254117941673,10,10,1.0,
128,0.5,64,16,0,1.0,10,10,1.0,
128,0.5,64,16,1,0.7943282347242815,10,10,1.0,
128,0.5,64,16,2,0.6309573444801932,10,10,1.0,
128,0.5,64,16,3,0.5011872336272724,10,10,1.0,
128,0.6666666666666666,85,4,-3,1.4964467362266598,10,10,1.0,
128,0.6666666666666666,85,4,-2,1.1886698943458351,10,10,1.0,
128,0.6666666666666666,85,4,-1,0.9441940588456256,10,10,1.0,
128,0.6666666666666666,85,4,0,0.75,10,10,1.0,
128,0.6666666666666666,85,4,1,0.5957461760432111,10,10,1.0,
128,0.6666666666666666,85,4,2,0.473218008360145,10,10,1.0,
128,0.6666666666666666,85,4,3,0.37589042522045424,10,10,1.0,
128,0.6666666666666666,85,8,-3,1.4964467362266598,10,10,1.0,
128,0.6666666666666666,85,8,-2,1.1886698943458351,10,10,1.0,
128,0.6666666666666666,85,8,-1,0.9441940588456256,10,10,1.0,
128,0.6666666666666666,85,8,0,0.75,10,10,1.0,
128,0.6666666666666666,85,8,1,0.5957461760432111,10,10,1.0,
128,0.6666666666666666,85,8,2,0.473218008360145,10,10,1.0,
128,0.6666666666666666,85,8,3,0.37589042522045424,10,10,1.0,
