N,R,K,L,EbN0_dB,NoiseVariance,FrameCount,ErrorCount,FER,BER
16,0.3333333333333333,5,4,-1.0,1.8883881176912511,47,10,0.2127659574468085,
16,0.3333333333333333,5,4,-0.5,1.6830276814529452,56,10,0.17857142857142858,
16,0.3333333333333333,5,4,0.0,1.5,54,10,0.18518518518518517,
16,0.3333333333333333,5,4,0.5,1.3368764072006185,75,10,0.13333333333333333,
16,0.3333333333333333,5,4,1.0,1.1914923520864222,90,10,0.1111111111111111,
16,0.3333333333333333,5,8,-1.0,1.8883881176912511,97,10,0.10309278350515463,
16,0.3333333333333333,5,8,-0.5,1.6830276814529452,73,10,0.136986301369863,
16,0.3333333333333333,5,8,0.0,1.5,99,10,0.10101010101010101,
16,0.3333333333333333,5,8,0.5,1.3368764072006185,83,10,0.12048192771084337,
16,0.3333333333333333,5,8,1.0,1.1914923520864222,103,10,0.0970873786407767,
16,0.3333333333333333,5,16,-1.0,1.8883881176912511,41,10,0.24390243902439024,
16,0.3333333333333333,5,16,-0.5,1.6830276814529452,78,10,0.1282051282051282,
16,0.3333333333333333,5,16,0.0,1.5,47,10,0.2127659574468085,
16,0.3333333333333333,5,16,0.5,1.3368764072006185,74,10,0.13513513513513514,
16,0.3333333333333333,5,16,1.0,1.1914923520864222,243,10,0.0411522633744856,
16,0.5,8,4,-1.0,1.2589254117941673,21,10,0.47619047619047616,
16,0.5,8,4,-0.5,1.1220184543019633,14,10,0.7142857142857143,
16,0.5,8,4,0.0,1.0,27,10,0.37037037037037035,
16,0.5,8,4,0.5,0.8912509381337456,47,10,0.2127659574468085,
16,0.5,8,4,1.0,0.7943282347242815,52,10,0.19230769230769232,
16,0.5,8,8,-1.0,1.2589254117941673,26,10,0.38461538461538464,
16,0.5,8,8,-0.5,1.1220184543019633,31,10,0.3225806451612903,
16,0.5,8,8,0.0,1.0,29,10,0.3448275862068966,
16,0.5,8,8,0.5,0.8912509381337456,49,10,0.20408163265306123,
16,0.5,8,8,1.0,0.7943282347242815,70,10,0.14285714285714285,
16,0.5,8,16,-1.0,1.2589254117941673,25,10,0.4,
16,0.5,8,16,-0.5,1.1220184543019633,24,10,0.4166666666666667,
16,0.5,8,16,0.0,1.0,31,10,0.3225806451612903,
16,0.5,8,16,0.5,0.8912509381337456,41,10,0.24390243902439024,
16,0.5,8,16,1.0,0.7943282347242815,68,10,0.14705882352941177,
16,0.6666666666666666,10,4,-1.0,0.9441940588456256,15,10,0.6666666666666666,
16,0.6666666666666666,10,4,-0.5,0.8415138407264726,16,10,0.625,
16,0.6666666666666666,10,4,0.0,0.75,51,10,0.19607843137254902,
16,0.6666666666666666,10,4,0.5,0.6684382036003093,76,10,0.13157894736842105,
16,0.6666666666666666,10,4,1.0,0.5957461760432111,49,10,0.20408163265306123,
16,0.6666666666666666,10,8,-1.0,0.9441940588456256,16,10,0.625,
16,0.6666666666666666,10,8,-0.5,0.8415138407264726,38,10,0.2631578947368421,
16,0.6666666666666666,10,8,0.0,0.75,28,10,0.35714285714285715,
16,0.6666666666666666,10,8,0.5,0.6684382036003093,71,10,0.14084507042253522,
16,0.6666666666666666,10,8,1.0,0.5957461760432111,60,10,0.16666666666666666,
16,0.6666666666666666,10,16,-1.0,0.9441940588456256,34,10,0.29411764705882354,
16,0.6666666666666666,10,16,-0.5,0.8415138407264726,21,10,0.47619047619047616,
