N,R,K,L,EbN0_dB,NoiseVariance,FrameCount,ErrorCount,FER,BER
16,0.3333333333333333,5,4,-3,2.9928934724533196,90,30,0.3333333333333333,
16,0.3333333333333333,5,4,-2,2.3773397886916703,103,30,0.2912621359223301,
16,0.3333333333333333,5,4,-1,1.8883881176912511,183,30,0.16393442622950818,
16,0.3333333333333333,5,4,0,1.5,281,30,0.10676156583629894,
16,0.3333333333333333,5,4,1,1.1914923520864222,392,30,0.07653061224489796,
16,0.3333333333333333,5,4,2,0.94643601672029,750,30,0.04,
16,0.3333333333333333,5,4,3,0.7517808504409085,3691,30,0.00812787862367922,
16,0.3333333333333333,5,8,-3,2.9928934724533196,81,30,0.37037037037037035,
16,0.3333333333333333,5,8,-2,2.3773397886916703,92,30,0.32608695652173914,
16,0.3333333333333333,5,8,-1,1.8883881176912511,134,30,0.22388059701492538,
16,0.3333333333333333,5,8,0,1.5,251,30,0.11952191235059761,
16,0.3333333333333333,5,8,1,1.1914923520864222,402,30,0.07462686567164178,
16,0.3333333333333333,5,8,2,0.94643601672029,907,30,0.03307607497243661,
16,0.3333333333333333,5,8,3,0.7517808504409085,2076,30,0.014450867052023121,
16,0.3333333333333333,5,16,-3,2.9928934724533196,102,30,0.29411764705882354,
16,0.3333333333333333,5,16,-2,2.3773397886916703,100,30,0.3,
16,0.3333333333333333,5,16,-1,1.8883881176912511,156,30,0.19230769230769232,
16,0.3333333333333333,5,16,0,1.5,225,30,0.13333333333333333,
16,0.3333333333333333,5,16,1,1.1914923520864222,297,30,0.10101010101010101,
16,0.3333333333333333,5,16,2,0.94643601672029,874,30,0.034324942791762014,
16,0.3333333333333333,5,16,3,0.7517808504409085,3030,30,0.009900990099009901,
16,0.5,8,4,-3,1.9952623149688797,43,30,0.6976744186046512,
16,0.5,8,4,-2,1.5848931924611134,47,30,0.6382978723404256,
16,0.5,8,4,-1,1.2589254117941673,65,30,0.46153846153846156,
16,0.5,8,4,0,1.0,85,30,0.35294117647058826,
16,0.5,8,4,1,0.7943282347242815,147,30,0.20408163265306123,
16,0.5,8,4,2,0.6309573444801932,279,30,0.10752688172043011,
16,0.5,8,4,3,0.5011872336272724,655,30,0.04580152671755725,
16,0.5,8,8,-3,1.9952623149688797,44,30,0.6818181818181818,
16,0.5,8,8,-2,1.5848931924611134,66,30,0.45454545454545453,
16,0.5,8,8,-1,1.2589254117941673,65,30,0.46153846153846156,
16,0.5,8,8,0,1.0,90,30,0.3333333333333333,
16,0.5,8,8,1,0.7943282347242815,142,30,0.2112676056338028,
16,0.5,8,8,2,0.6309573444801932,298,30,0.10067114093959731,
16,0.5,8,8,3,0.5011872336272724,661,30,0.0453857791225416,
16,0.5,8,16,-3,1.9952623149688797,51,30,0.5882352941176471,
16,0.5,8,16,-2,1.5848931924611134,57,30,0.5263157894736842,
16,0.5,8,16,-1,1.2589254117941673,70,30,0.42857142857142855,
16,0.5,8,16,0,1.0,106,30,0.2830188679245283,
16,0.5,8,16,1,0.7943282347242815,164,30,0.18292682926829268,
16,0.5,8,16,2,0.6309573444801932,273,30,0.10989010989010989,
16,0.5,8,16,3,0.5011872336272724,614,30,0.048859934853420196,
16,0.6666666666666666,10,4,-3,1.4964467362266598,43,30,0.6976744186046512,
16,0.6666666666666666,10,4,-2,1.1886698943458351,64,30,0.46875,
16,0.6666666666666666,10,4,-1,0.9441940588456256,60,30,0.5,
16,0.6666666666666666,10,4,0,0.75,111,30,0.2702702702702703,
16,0.6666666666666666,10,4,1,0.5957461760432111,185,30,0.16216216216216217,
16,0.6666666666666666,10,4,2,0.473218008360145,363,30,0.08264462809917356,
16,0.6666666666666666,10,4,3,0.37589042522045424,653,30,0.045941807044410414,
16,0.6666666666666666,10,8,-3,1.4964467362266598,40,30,0.75,
16,0.6666666666666666,10,8,-2,1.1886698943458351,54,30,0.5555555555555556,
16,0.6666666666666666,10,8,-1,0.9441940588456256,63,30,0.47619047619047616,
16,0.6666666666666666,10,8,0,0.75,133,30,0.22556390977443608,
16,0.6666666666666666,10,8,1,0.5957461760432111,161,30,0.18633540372670807,
16,0.6666666666666666,10,8,2,0.473218008360145,361,30,0.08310249307479224,
16,0.6666666666666666,10,8,3,0.37589042522045424,951,30,0.031545741324921134,
16,0.6666666666666666,10,16,-3,1.4964467362266598,45,30,0.6666666666666666,
16,0.6666666666666666,10,16,-2,1.1886698943458351,56,30,0.5357142857142857,
16,0.6666666666666666,10,16,-1,0.9441940588456256,72,30,0.4166666666666667,
16,0.6666666666666666,10,16,0,0.75,95,30,0.3157894736842105,
16,0.6666666666666666,10,16,1,0.5957461760432111,186,30,0.16129032258064516,
16,0.6666666666666666,10,16,2,0.473218008360145,419,30,0.07159904534606205,
16,0.6666666666666666,10,16,3,0.37589042522045424,1053,30,0.02849002849002849,
32,0.3333333333333333,10,4,-3,2.9928934724533196,50,30,0.6,
32,0.3333333333333333,10,4,-2,2.3773397886916703,64,30,0.46875,
32,0.3333333333333333,10,4,-1,1.8883881176912511,67,30,0.44776119402985076,
32,0.3333333333333333,10,4,0,1.5,152,30,0.19736842105263158,
32,0.3333333333333333,10,4,1,1.1914923520864222,266,30,0.11278195488721804,
32,0.3333333333333333,10,4,2,0.94643601672029,495,30,0.06060606060606061,
32,0.3333333333333333,10,4,3,0.7517808504409085,2229,30,0.013458950201884253,
32,0.3333333333333333,10,8,-3,2.9928934724533196,49,30,0.6122448979591837,
32,0.3333333333333333,10,8,-2,2.3773397886916703,59,30,0.5084745762711864,
32,0.3333333333333333,10,8,-1,1.8883881176912511,66,30,0.45454545454545453,
32,0.3333333333333333,10,8,0,1.5,87,30,0.3448275862068966,
32,0.3333333333333333,10,8,1,1.1914923520864222,178,30,0.16853932584269662,
32,0.3333333333333333,10,8,2,0.94643601672029,442,30,0.06787330316742081,
32,0.3333333333333333,10,8,3,0.7517808504409085,1501,30,0.019986675549633577,
32,0.3333333333333333,10,16,-3,2.9928934724533196,51,30,0.5882352941176471,
32,0.3333333333333333,10,16,-2,2.3773397886916703,57,30,0.5263157894736842,
32,0.3333333333333333,10,16,-1,1.8883881176912511,69,30,0.43478260869565216,
32,0.3333333333333333,10,16,0,1.5,126,30,0.23809523809523808,
32,0.3333333333333333,10,16,1,1.1914923520864222,204,30,0.14705882352941177,
32,0.3333333333333333,10,16,2,0.94643601672029,528,30,0.056818181818181816,
32,0.3333333333333333,10,16,3,0.7517808504409085,1815,30,0.01652892561983471,
32,0.5,16,4,-3,1.9952623149688797,38,30,0.7894736842105263,
32,0.5,16,4,-2,1.5848931924611134,48,30,0.625,
32,0.5,16,4,-1,1.2589254117941673,62,30,0.4838709677419355,
32,0.5,16,4,0,1.0,102,30,0.29411764705882354,
32,0.5,16,4,1,0.7943282347242815,189,30,0.15873015873015872,
32,0.5,16,4,2,0.6309573444801932,512,30,0.05859375,
32,0.5,16,4,3,0.5011872336272724,1831,30,0.016384489350081924,
32,0.5,16,8,-3,1.9952623149688797,39,30,0.7692307692307693,
32,0.5,16,8,-2,1.5848931924611134,47,30,0.6382978723404256,
32,0.5,16,8,-1,1.2589254117941673,63,30,0.47619047619047616,
32,0.5,16,8,0,1.0,112,30,0.26785714285714285,
32,0.5,16,8,1,0.7943282347242815,198,30,0.15151515151515152,
32,0.5,16,8,2,0.6309573444801932,525,30,0.05714285714285714,
32,0.5,16,8,3,0.5011872336272724,2430,30,0.012345679012345678,
