N,R,K,L,EbN0_dB,NoiseVariance,FrameCount,ErrorCount,FER,BER
16,0.3333333333333333,5,4,-1.0,1.8883881176912511,156,30,0.19230769230769232,
16,0.3333333333333333,5,4,-0.5,1.6830276814529452,199,30,0.1507537688442211,
16,0.3333333333333333,5,4,0.0,1.5,256,30,0.1171875,
16,0.3333333333333333,5,4,0.5,1.3368764072006185,359,30,0.08356545961002786,
16,0.3333333333333333,5,4,1.0,1.1914923520864222,517,30,0.058027079303675046,
16,0.3333333333333333,5,8,-1.0,1.8883881176912511,155,30,0.1935483870967742,
16,0.3333333333333333,5,8,-0.5,1.6830276814529452,184,30,0.16304347826086957,
16,0.3333333333333333,5,8,0.0,1.5,189,30,0.15873015873015872,
16,0.3333333333333333,5,8,0.5,1.3368764072006185,243,30,0.12345679012345678,
16,0.3333333333333333,5,8,1.0,1.1914923520864222,401,30,0.07481296758104738,
16,0.3333333333333333,5,16,-1.0,1.8883881176912511,115,30,0.2608695652173913,
16,0.3333333333333333,5,16,-0.5,1.6830276814529452,183,30,0.16393442622950818,
16,0.3333333333333333,5,16,0.0,1.5,200,30,0.15,
16,0.3333333333333333,5,16,0.5,1.3368764072006185,326,30,0.09202453987730061,
16,0.3333333333333333,5,16,1.0,1.1914923520864222,378,30,0.07936507936507936,
16,0.5,8,4,-1.0,1.2589254117941673,66,30,0.45454545454545453,
16,0.5,8,4,-0.5,1.1220184543019633,62,30,0.4838709677419355,
16,0.5,8,4,0.0,1.0,103,30,0.2912621359223301,
16,0.5,8,4,0.5,0.8912509381337456,138,30,0.21739130434782608,
16,0.5,8,4,1.0,0.7943282347242815,142,30,0.2112676056338028,
16,0.5,8,8,-1.0,1.2589254117941673,74,30,0.40540540540540543,
16,0.5,8,8,-0.5,1.1220184543019633,98,30,0.30612244897959184,
16,0.5,8,8,0.0,1.0,81,30,0.37037037037037035,
16,0.5,8,8,0.5,0.8912509381337456,108,30,0.2777777777777778,
16,0.5,8,8,1.0,0.7943282347242815,146,30,0.2054794520547945,
16,0.5,8,16,-1.0,1.2589254117941673,69,30,0.43478260869565216,
16,0.5,8,16,-0.5,1.1220184543019633,89,30,0.33707865168539325,
16,0.5,8,16,0.0,1.0,99,30,0.30303030303030304,
16,0.5,8,16,0.5,0.8912509381337456,133,30,0.22556390977443608,
16,0.5,8,16,1.0,0.7943282347242815,129,30,0.23255813953488372,
16,0.6666666666666666,10,4,-1.0,0.9441940588456256,67,30,0.44776119402985076,
16,0.6666666666666666,10,4,-0.5,0.8415138407264726,73,30,0.410958904109589,
16,0.6666666666666666,10,4,0.0,0.75,109,30,0.27522935779816515,
16,0.6666666666666666,10,4,0.5,0.6684382036003093,139,30,0.2158273381294964,
16,0.6666666666666666,10,4,1.0,0.5957461760432111,121,30,0.24793388429752067,
16,0.6666666666666666,10,8,-1.0,0.9441940588456256,77,30,0.38961038961038963,
16,0.6666666666666666,10,8,-0.5,0.8415138407264726,76,30,0.39473684210526316,
16,0.6666666666666666,10,8,0.0,0.75,62,30,0.4838709677419355,
16,0.6666666666666666,10,8,0.5,0.6684382036003093,131,30,0.22900763358778625,
16,0.6666666666666666,10,8,1.0,0.5957461760432111,188,30,0.1595744680851064,
16,0.6666666666666666,10,16,-1.0,0.9441940588456256,64,30,0.46875,
16,0.6666666666666666,10,16,-0.5,0.8415138407264726,96,30,0.3125,
16,0.6666666666666666,10,16,0.0,0.75,118,30,0.2542372881355932,
16,0.6666666666666666,10,16,0.5,0.6684382036003093,141,30,0.2127659574468085,
16,0.6666666666666666,10,16,1.0,0.5957461760432111,200,30,0.15,
32,0.3333333333333333,10,4,-1.0,1.8883881176912511,67,30,0.44776119402985076,
32,0.3333333333333333,10,4,-0.5,1.6830276814529452,90,30,0.3333333333333333,
32,0.3333333333333333,10,4,0.0,1.5,146,30,0.2054794520547945,
32,0.3333333333333333,10,4,0.5,1.3368764072006185,159,30,0.18867924528301888,
32,0.3333333333333333,10,4,1.0,1.1914923520864222,320,30,0.09375,
32,0.3333333333333333,10,8,-1.0,1.8883881176912511,96,30,0.3125,
32,0.3333333333333333,10,8,-0.5,1.6830276814529452,101,30,0.297029702970297,
32,0.3333333333333333,10,8,0.0,1.5,124,30,0.24193548387096775,
32,0.3333333333333333,10,8,0.5,1.3368764072006185,150,30,0.2,
32,0.3333333333333333,10,8,1.0,1.1914923520864222,235,30,0.1276595744680851,
32,0.3333333333333333,10,16,-1.0,1.8883881176912511,94,30,0.3191489361702128,
32,0.3333333333333333,10,16,-0.5,1.6830276814529452,96,30,0.3125,
32,0.3333333333333333,10,16,0.0,1.5,125,30,0.24,
32,0.3333333333333333,10,16,0.5,1.3368764072006185,193,30,0.15544041450777202,
32,0.3333333333333333,10,16,1.0,1.1914923520864222,243,30,0.12345679012345678,
32,0.5,16,4,-1.0,1.2589254117941673,63,30,0.47619047619047616,
32,0.5,16,4,-0.5,1.1220184543019633,65,30,0.46153846153846156,
32,0.5,16,4,0.0,1.0,93,30,0.3225806451612903,
32,0.5,16,4,0.5,0.8912509381337456,148,30,0.20270270270270271,
32,0.5,16,4,1.0,0.7943282347242815,195,30,0.15384615384615385,
32,0.5,16,8,-1.0,1.2589254117941673,57,30,0.5263157894736842,
32,0.5,16,8,-0.5,1.1220184543019633,68,30,0.4411764705882353,
32,0.5,16,8,0.0,1.0,84,30,0.35714285714285715,
32,0.5,16,8,0.5,0.8912509381337456,110,30,0.2727272727272727,
32,0.5,16,8,1.0,0.7943282347242815,152,30,0.19736842105263158,
32,0.5,16,16,-1.0,1.2589254117941673,56,30,0.5357142857142857,
32,0.5,16,16,-0.5,1.1220184543019633,61,30,0.4918032786885246,
32,0.5,16,16,0.0,1.0,100,30,0.3,
32,0.5,16,16,0.5,0.8912509381337456,138,30,0.21739130434782608,
32,0.5,16,16,1.0,0.7943282347242815,253,30,0.11857707509881422,
32,0.6666666666666666,21,4,-1.0,0.9441940588456256,37,30,0.8108108108108109,
